PROJECT_ID,FILES,SOURCE_FILES,LINES,SOURCE_FILE_LINES,COMMITS,SOURCE_FILE_COMMITS
org.apache:archiva,3208,3208,421594,189286,8695,4222
org.apache:batik,3476,3476,663580,360924,3524,2282
org.apache:bcel,609,609,164865,78500,1753,1150
org.apache:beanutils,312,312,74099,70179,1405,854
org.apache:cayenne,5125,5125,551273,490299,6733,5096
org.apache:cocoon,8015,8015,811156,373948,13161,6352
org.apache:codec,321,321,56077,43972,2144,1331
org.apache:collections,822,822,138770,130157,3629,2578
org.apache:commons-cli,100,100,16103,11098,1066,500
org.apache:commons-exec,118,118,12104,7815,700,310
org.apache:commons-fileupload,110,110,16294,11598,1182,539
org.apache:commons-io,513,513,92012,81216,3383,2307
org.apache:commons-jelly,1017,1017,90654,63432,1945,960
org.apache:commons-jexl,224,224,56468,50440,1927,1136
org.apache:configuration,666,666,133762,105743,3413,2232
org.apache:daemon,141,141,30837,3327,1251,123
org.apache:dbcp,194,194,57712,49621,2465,1501
org.apache:dbutils,135,135,18057,14836,789,330
org.apache:digester,454,454,54424,43033,2192,1133
org.apache:felix,6607,6607,953003,784669,15555,8825
org.apache:hive,21183,21183,6148236,2177174,15765,13350
org.apache:httpclient,751,751,123649,115688,3296,2621
org.apache:httpcore,932,932,136410,131187,3613,2916
org.apache:jxpath,294,294,47040,40128,601,391
org.apache:net,311,311,65101,60133,2497,1611
org.apache:ognl,329,329,40619,34536,745,467
org.apache:santuario,1795,1795,207755,124202,2922,1619
org.apache:thrift,2478,2478,472011,35111,6386,499
org.apache:validator,214,214,42318,33880,1548,838
org.apache:vfs,785,785,89739,73188,3074,1961
org.apache:zookeeper,1438,1438,296945,177881,2364,1439
